"genus","species","genspec","genomesize","plethodontids","lifehistory","Notes","bp","of","cyt-b","range","of","cyt-b","Data","Source","cyt-b","Cyt-b","specimen","#","bp","of","16S","range","of","16s","Data","source","16S","16S","Specimen","#","Notes","Notes","2/2011",,,,,,,,,,,,,,,,,,
"Nyctanolis","pernix","N_pernix",28,"plethodontids","D",782,"21-804","AY691756","UTA",53058,1139,"191-1368","DQ640047","DQ640059","mea2247","16S","DATA","FOR","SAME","INDIVIDUAL","FROM","TWO","STUDIES","16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,
"Oedipina","poelzi","O_poelzi",52,"plethodontids","D",1140,"WHOLE","NC_006326","MVZ207128","WHOLE","WHOLE","NC_006326","MVZ207128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oedipina","pseudouniformis","O_pseudouniformis",41,"plethodontids","D",385,"20-405","AF199178","MVZ",203749,"~510","820-1336","AF199227","MVZ",203749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oedipina","uniformis","O_uniformis",45,"plethodontids","D",550,"20-817","with",246,"Ns","NICK","AF199185","MVZ",190853,"MVZ",233161,1140,"191-1369","WITH",38,"N'S","IN","MIDDLE","gi|6457565|gb|AF199230.1|AF199230 Oedipina uniformis country Costa Rica 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product","ucr12062","MVZ",190853,"16s","chimaera","cyt-b","chimaera","(3","total","individuals)",,,,,,,,,,,,,,,,,
"Parvimolge","townsendi","P_townsendi",21,"plethodontids","D",371,"69-439","AF451206","mvz",190947,1179,"191-1370","DQ640050","AF451247","MVZ",190947,"16S","DATA","FOR","SAME","INDIVIDUAL","FROM","TWO","STUDIES",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plethodon","cinereus","P_cinereus",23,"plethodontids","D",1137,"WHOLE","NC_006343","MVZ",225101,"WHOLE","WHOLE","NC_006343","MVZ",225101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plethodon","dunni","P_dunni",42,"plethodontids","D",1124,"21-1141","AY183763","my","JGI","(mvz244063","or",244064,"...accession","#","13923)","S12356",1325,"1-1325","DQ283262","AMNH","TAT",1040,"cyt-b","is","a","chimaera","of",2,"and","16s","is","different","still",,,,,,,,,,,,,,,,,
"Plethodon","elongatus","P_elongatus",33,"plethodontids","D",1142,"WHOLE","NC_006335","MVZ220003","WHOLE","whole","NC_006335","MVZ220003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plethodon","glutinosus","P_glutinosus",27,"plethodontids","D",649,"1-649","DQ994938","UTA","A-56969","~1207","153-1341","Nick","MVZ",222638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plethodon","ouachitae","P_ouchitae",34,"plethodontids","D",783,"21-804","AY691747","UTA",56607,986,"354-1370",1,"Meredith","Mahoney's","unpublished","data","from","her","postdoc","MVZ",145043,"16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plethodon","richmondi","P_richmondi",20,"plethodontids","D",792,"18-810","AY378072","isolate",53586,902,"365-1340",2,"from","Meredith","RWV-ASU",22746,"16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plethodon","vandykei","P_vandykei",69,"plethodontids","D",783,"21-804","AY691759","UTA",56609,1014,"365-1340","Meredith","Mahoney's","unpublished","data","from","her","postdoc","MVZ",236241,"16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plethodon","vehiculum","P_vehiculum",38,"plethodontids","D",782,"21-804","AY691760","UTA",56610,968,"365-1340","Meredith","Mahoney's","unpublished","data","from","her","postdoc","MVZ",220729,"16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plethodon","welleri","P_welleri",23,"plethodontids","D",782,"21-804","AY691761","PwelleriJB202",986,"365-1340","Meredith","Mahoney's","unpublished","data","from","her","postdoc","RWV-ASU",22745,"16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plethodon","yonahlossee","P_yonahlossee",31,"plethodontids","D",792,"18-811","AY378075","isolate",77653,1510,"1-1510","gi|3114857|emb|Y10948","SPECIMEN","INFO","NOT","IN","GENBANK","HAVE","TO","LOOK","UP","PAPER",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pseudoeurycea","bellii","P_belli_sierraoccidentalis",47,"plethodontids","D",693,"59-751","GP1030","AY864681",1144,"191-1368","DQ640038","AY864695","gp1029","16s","data","from","same","individual","from","two","studies","chimaera","with","cyt-b",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pseudoeurycea","cephalica","P_cephalica",40,"plethodontids","D",571,"59-628","AF451199","GP",208,"~510","820-1336","AF451216","GP",270,"16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pseudoeurycea","juarezi","P_juarezi",27,"plethodontids","D",570,"60-628","AF380771","s2509",1146,"191-1371","DQ640031","AF380810","GP536","s2509","16s","is","a","chimaera","but","cyt-b","is","one","of","those","two","individuals",,,,,,,,,,,,,,,,,,,,,,,,
"Pseudoeurycea","leprosa","P_leprosa",28,"plethodontids","D",570,"60-628","GQ468493","JCW349",1150,"191-1370","DQ640033","AF380820","gp399","16s","data","from","same","individual","from",2,"studies","chimaera","with","cyt-b",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pseudoeurycea","melanomolga","P_melanomolga",40,"plethodontids","D",570,"59-628","AF451200","GP",47,600,"820-1336","AF451228","MVZ",163952,"16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pseudoeurycea","rex","P_rex",37,"plethodontids","D",783,"21-804","AY691757","UTA",56667,515,"820-1336","AF451237","MVZ",149701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pseudoeurycea","robertsi","P_robertsi",52,"plethodontids","D",570,"60-628","AF380792","gp331",515,"820-1336","AF380831","gp331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pseudotriton","montanus","P_montanus",23,"plethodontids","M","Mpleth",1140,"WHOLE","Nick","TNHC",54222,525,"845-1370","EF107217","1621PseMon","16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pseudotriton","ruber","P_ruber",25,"plethodontids","M","Mpleth",1141,"WHOLE","NC_006332","MVZ",220897,"WHOLE","WHOLE","NC_006332","MVZ",220897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrias","davidianus","A_davidianus",50,"nonp","M",1141,"whole","NC_004926","whole","whole","NC_004926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrias","japonicus","A_japonicus",47,"nonp","M","whole","whole","NC_007446","whole","whole","NC_007446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Batrachuperus","mustersi","B_mustersi",22,"nonp","M","whole","whole","DQ333821","whole","whole","DQ333821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hynobius","naevius","H_naevius",20,"nonp","M","whole","whole","AB266672","KUHE:28584",1057,"360-1417","AB201694","KUHE:28584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Onychodactylus","fischeri","O_fischeri",48,"nonp","M","whole","whole","DQ333820","whole","whole","DQ333820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ranodon","sibiricus","R_sibiricus",24,"nonp","M","whole","whole","NC_004021","whole","whole","NC_004021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salamandrella","keyserlingii","S_keyserlingii",25,"nonp","M","whole","whole","DQ333814","whole","whole","DQ333814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ambystoma","californiense","A_californiense",32,"nonp","M","whole","whole","NC_006890","whole","whole","NC_006890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ambystoma","laterale","A_laterale",29,"nonp","M","whole","whole","AY728218","whole","whole","AY728218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
